"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR10F022","Female",2019-09-09,2020-03-09,6.22,5.9,"Kuruman 10",19,"KR10F004",16,182,-0.001758242,1,1
"KR10F024","Female",2019-09-10,2020-03-09,5.885,6.11,"Kuruman 10",19,"KR10F004",16,181,0.001243094,1,1
"KR10M031","Male",2019-09-10,2020-03-09,5.385,5.71,"Kuruman 10",19,"KR10F004",16,181,0.00179558,1,1
"KR10M029","Male",2019-09-10,2020-03-10,5.5,5.695,"Kuruman 10",19,"KR10F004",16,182,0.001071429,1,1
"KR10M028","Male",2019-09-09,2020-03-10,6.275,6.39,"Kuruman 10",19,"KR10F004",16,183,0.000628415,1,1
"KR10M032","Male",2019-09-10,2020-03-11,5.185,5.455,"Kuruman 10",19,"KR10F004",16,183,0.00147541,1,1
"KR10M034","Male",2019-09-09,2020-03-11,4.275,5.135,"Kuruman 10",19,"KR10F004",16,184,0.004673913,1,1
"KR10M033","Male",2019-09-10,2020-03-11,5.04,5.45,"Kuruman 10",19,"KR10F004",16,183,0.002240437,1,1
"KR10M025","Male",2019-09-10,2020-03-11,5.875,5.895,"Kuruman 10",19,"KR10F004",16,183,0.00010929,1,1
"KR10M014","Male",2019-09-09,2020-03-12,6.44,6.405,"Kuruman 10",19,"KR10F004",16,185,-0.000189189,1,1
"KR10M023","Male",2019-09-09,2020-03-12,5.68,6.21,"Kuruman 10",19,"KR10F004",16,185,0.002864865,1,1
"KR10M026","Male",2019-09-09,2020-03-12,6.19,6.17,"Kuruman 10",19,"KR10F004",16,185,-0.000108108,1,1
"KR11F003","Female",2017-02-21,2017-08-19,4.525,5.34,"Kuruman 11",7,"KR11F001",11,179,0.004553073,1,1
"KR11F002","Female",2017-02-20,2017-08-19,2.97,4.795,"Kuruman 11",7,"KR11F001",11,180,0.010138889,1,1
"KR11F006","Female",2017-02-22,2017-08-19,3.475,5.065,"Kuruman 11",7,"KR11F001",11,178,0.008932584,1,1
"KR11M004","Male",2017-02-21,2017-08-19,4.535,5.485,"Kuruman 11",7,"KR11F001",11,179,0.005307263,1,1
