"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","TeethWidth","BodyLength","weight.ln","teethwidth.ln"
"KR13F039","Kuruman 13","KRR",5,2016-04-13,"12/04/2016",24,"Female",92,"21/09/2015",205,0.561259411,"femalenonbreeder",5.615,16.5,4.52178857704904,1.72544158819041
"KR13F040","Kuruman 13","KRR",5,2016-04-12,"12/04/2016",24,"Female",98,"21/09/2015",204,0.558521561,"femalenonbreeder",5.575,16.8,4.58496747867057,1.71829231734618
"KR13F040","Kuruman 35","KRR",7,2017-05-02,"02/05/2017",1,"Female",111,"21/09/2015",589,1.612594114,"single",5.875,18,4.70953020131233,1.77070606003022
"KR13F040","Kuruman 35","KRR",8,2017-10-09,"09/10/2017",1,"Female",117,"21/09/2015",749,2.05065024,"single",5.975,18.3,4.76217393479776,1.78758409781757
"KR13F040","Kuruman 35","KRR",9,2018-03-23,"23/03/2018",1,"Female",121,"21/09/2015",914,2.502395619,"single",6.025,18.15,4.79579054559674,1.79591747937672
"KR13F040","Kuruman 35","KRR",10,2018-10-15,"15/10/2018",1,"Female",119,"21/09/2015",1120,3.066392882,"single",5.72,18.6,4.77912349311153,1.74396880539171
"KR13F042","Kuruman 13","KRR",5,2016-04-13,"12/04/2016",24,"Female",83,"22/09/2015",204,0.558521561,"femalenonbreeder",5.29,16.15,4.4188406077966,1.66581824587021
"KR13F050","Kuruman 13","KRR",7,2017-01-24,"23/01/2017",13,"Female",100,"14/04/2016",285,0.780287474,"femalenonbreeder",5.485,16.85,4.60517018598809,1.70201709372719
"KR13F050","Kuruman 40","KRR",10,2018-09-16,"15/09/2018",1,"Female",125,"14/04/2016",885,2.422997947,"single",6.135,17.95,4.8283137373023,1.81401007816287
"KR13F050","Kuruman 40","KRR",11,2019-04-12,"12/04/2019",1,"Female",137,"14/04/2016",1093,2.99247091,"single",6.185,18.35,4.91998092582813,1.82212700584445
"KR13F053","Kuruman 29","KRR",10,2018-09-15,"15/09/2018",1,"Female",132,"24/01/2017",599,1.639972621,"single",6.135,18.15,4.88280192258637,1.81401007816287
"KR13F053","Kuruman 29","KRR",12,2019-10-14,"14/10/2019",1,"Female",135,"24/01/2017",993,2.718685832,"single",6.215,18.2,4.90527477843843,1.82696572496267
"KR13F053","Kuruman 29","KRR",13,2020-04-06,"06/04/2020",1,"Female",132,"24/01/2017",1168,3.197809719,"single",6.3,18.35,4.88280192258637,1.84054963339749
"KR13F055","Kuruman 13","KRR",8,2017-08-16,"14/08/2017",2,"Female",103,"24/01/2017",204,0.558521561,"femalenonbreeder",5.77,17.6,4.63472898822964,1.75267208052001
"KR13F058","Kuruman 39","KRR",11,2019-03-20,"19/03/2019",5,"Female",104,"06/04/2018",348,0.952772074,"femalenonbreeder",5.38,16.85,4.64439089914137,1.68268837417369
"KR19F007","Kuruman 19","KRR",11,2019-03-25,"25/03/2019",9,"Female",88,"23/05/2018",306,0.837782341,"femalenonbreeder",5.34,15.65,4.47733681447821,1.6752256529721
"KR19F007","Kuruman 19","KRR",12,2019-11-15,"15/11/2019",12,"Female",89,"23/05/2018",541,1.481177276,"femalenonbreeder",5.385,15.9,4.48863636973214,1.68361731060835
"KR19F007","Kuruman 19","KRR",13,2020-04-28,"28/04/2020",10,"Female",86,"23/05/2018",706,1.932922656,"femalenonbreeder",5.295,15.75,4.45434729625351,1.66676297905337
"KR19F009","Kuruman 19","KRR",11,2019-03-27,"25/03/2019",9,"Female",110,"24/05/2018",307,0.840520192,"femalenonbreeder",5.325,17.25,4.70048036579242,1.67241271159549
"KR19F009","Kuruman 19","KRR",12,2019-11-18,"15/11/2019",12,"Female",113,"24/05/2018",543,1.486652977,"femalenonbreeder",5.385,18.15,4.72738781871234,1.68361731060835
"KR19F009","Kuruman 19","KRR",13,2020-04-28,"28/04/2020",10,"Female",104,"24/05/2018",705,1.930184805,"femalenonbreeder",5.54,17.5,4.64439089914137,1.71199450075919
"KR1F003","Kuruman 1","KRR",2,2014-07-28,"27/07/2014",10,"Female",88,"18/11/2013",252,0.689938398,"femalenonbreeder",5.545,16.15,4.47733681447821,1.71289662080233
"KR1F003","Kuruman 1","KRR",3,2015-02-16,"16/02/2015",10,"Female",107,"18/11/2013",455,1.245722108,"femalenonbreeder",5.74,17.2,4.67282883446191,1.74745921033147
"KR1F003","Kuruman 1","KRR",4,2015-10-15,"14/10/2015",7,"Female",146,"18/11/2013",696,1.905544148,"femalenonbreeder",6.295,18.4,4.98360662170834,1.83975566749631
"KR1F003","Kuruman 1","KRR",5,2016-04-26,"26/04/2016",9,"Female",144,"18/11/2013",890,2.436687201,"femalenonbreeder",6.605,18.55,4.969813299576,1.88782693797429
"KR1F004","Kuruman 1","KRR",1,2013-11-18,"17/11/2013",18,"Female",106,"18/11/2013",0,0,"femalenonbreeder",6.02,16.7,4.66343909411207,1.79508725932073
"KR1F005","Kuruman 1","KRR",1,2013-11-18,"17/11/2013",18,"Female",106,"18/11/2013",0,0,"femalenonbreeder",5.72,17.2,4.66343909411207,1.74396880539171
"KR1F006","Kuruman 1","KRR",1,2013-11-18,"17/11/2013",18,"Female",92,"18/11/2013",0,0,"femalenonbreeder",5.36,15.8,4.52178857704904,1.67896397508271
"KR1F006","Kuruman 1","KRR",2,2014-07-27,"27/07/2014",10,"Female",112,"18/11/2013",251,0.687200548,"femalenonbreeder",5.92,16.95,4.71849887129509,1.77833644889591
"KR1F006","Kuruman 1","KRR",3,2015-02-16,"16/02/2015",10,"Female",127,"18/11/2013",455,1.245722108,"femalenonbreeder",5.9,17.5,4.84418708645859,1.77495235091167
"KR1F006","Kuruman 1","KRR",4,2015-10-16,"14/10/2015",7,"Female",156,"18/11/2013",697,1.908281999,"femalenonbreeder",6.45,18.65,5.04985600724954,1.86408013080768
"KR1F006","Kuruman 1","KRR",5,2016-04-27,"26/04/2016",9,"Female",162,"18/11/2013",891,2.439425051,"femalenonbreeder",6.615,18.5,5.08759633523238,1.88933979756692
"KR1F006","Kuruman 1","KRR",7,2017-05-03,"03/05/2017",4,"Female",169,"18/11/2013",1262,3.455167693,"femalenonbreeder",6.84,19.15,5.12989871492307,1.92278773163446
"KR1F006","Kuruman 1","KRR",8,2017-10-09,"09/10/2017",4,"Female",165,"18/11/2013",1421,3.890485969,"femalenonbreeder",6.77,19.25,5.10594547390058,1.91250108692418
"KR1F006","Kuruman 1","KRR",9,2018-03-23,"23/03/2018",4,"Female",168,"18/11/2013",1586,4.342231348,"femalenonbreeder",6.99,19,5.12396397940326,1.94448055624572
"KR1F011","Kuruman 1","KRR",1,2013-11-20,"17/11/2013",18,"Female",125,"20/11/2013",0,0,"femalenonbreeder",5.96,17.6,4.8283137373023,1.78507048107726
"KR1F014","Kuruman 1","KRR",1,2013-11-21,"17/11/2013",18,"Female",107,"21/11/2013",0,0,"femalenonbreeder",5.4,16.45,4.67282883446191,1.68639895357023
"KR1F014","Kuruman 22","KRR",4,2015-09-27,"27/09/2015",1,"Female",144,"21/11/2013",675,1.848049281,"single",5.9,18,4.969813299576,1.77495235091167
"KR1F014","Kuruman 22","KRR",5,2016-03-17,"17/03/2016",1,"Female",142,"21/11/2013",847,2.318959617,"single",6.185,18.1,4.95582705760126,1.82212700584445
