"AnimalID","Sex","DateofCapture","DateofRecapture","weight","weight2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofbodymassgrowth","CompleteCapture","CompleteRecapture"
"KR10M027","Male",2019-09-10,2020-03-09,113,126,"Kuruman 10",19,"KR10F004",16,181,0.071823204,1,1
"KR10F022","Female",2019-09-09,2020-03-09,112,130,"Kuruman 10",19,"KR10F004",16,182,0.098901099,1,1
"KR10F024","Female",2019-09-10,2020-03-09,101,120,"Kuruman 10",19,"KR10F004",16,181,0.104972376,1,1
"KR10M031","Male",2019-09-10,2020-03-09,86,109,"Kuruman 10",19,"KR10F004",16,181,0.127071823,1,1
"KR10M029","Male",2019-09-10,2020-03-10,97,107,"Kuruman 10",19,"KR10F004",16,182,0.054945055,1,1
"KR10M028","Male",2019-09-09,2020-03-10,141,157,"Kuruman 10",19,"KR10F004",16,183,0.087431694,1,1
"KR10M032","Male",2019-09-10,2020-03-11,70,87,"Kuruman 10",19,"KR10F004",16,183,0.092896175,1,1
"KR10M034","Male",2019-09-09,2020-03-11,53,83,"Kuruman 10",19,"KR10F004",16,184,0.163043478,1,1
"KR10M033","Male",2019-09-10,2020-03-11,75,101,"Kuruman 10",19,"KR10F004",16,183,0.142076503,1,1
"KR10M025","Male",2019-09-10,2020-03-11,108,121,"Kuruman 10",19,"KR10F004",16,183,0.071038251,1,1
"KR10M014","Male",2019-09-09,2020-03-12,134,145,"Kuruman 10",19,"KR10F004",16,185,0.059459459,1,1
"KR10M023","Male",2019-09-09,2020-03-12,124,144,"Kuruman 10",19,"KR10F004",16,185,0.108108108,1,1
"KR10M026","Male",2019-09-09,2020-03-12,101,113,"Kuruman 10",19,"KR10F004",16,185,0.064864865,1,1
"KR11F003","Female",2017-02-21,2017-08-19,76,116,"Kuruman 11",7,"KR11F001",11,179,0.223463687,1,1
"KR11F002","Female",2017-02-20,2017-08-19,43,94,"Kuruman 11",7,"KR11F001",11,180,0.283333333,1,1
"KR11F006","Female",2017-02-22,2017-08-19,43,92,"Kuruman 11",7,"KR11F001",11,178,0.275280899,1,1
"KR11M004","Male",2017-02-21,2017-08-19,85,115,"Kuruman 11",7,"KR11F001",11,179,0.167597765,1,1
"KR11M004","Male",2017-08-19,2018-03-17,115,164,"Kuruman 11",11,"KR11F001",15,210,0.233333333,1,1
"KR11F006","Female",2017-08-19,2018-03-17,92,112,"Kuruman 11",11,"KR11F001",15,210,0.095238095,1,1
"KR11M009","Male",2017-08-20,2018-03-18,54,122,"Kuruman 11",11,"KR11F001",15,210,0.323809524,1,1
"KR11M010","Male",2017-08-20,2018-03-18,29,105,"Kuruman 11",11,"KR11F001",15,210,0.361904762,1,1
"KR11F007","Female",2017-08-19,2018-03-18,53,98,"Kuruman 11",11,"KR11F001",15,211,0.213270142,1,1
"KR11M011","Male",2017-08-20,2018-03-18,28,92,"Kuruman 11",11,"KR11F001",15,210,0.304761905,1,1
"KR11F002","Female",2017-08-19,2018-03-18,94,119,"Kuruman 11",11,"KR11F001",15,211,0.118483412,1,1
"KR11F008","Female",2017-08-20,2018-03-18,57,107,"Kuruman 11",11,"KR11F001",15,210,0.238095238,1,1
"KR11F003","Female",2017-08-19,2018-03-19,116,133,"Kuruman 11",11,"KR11F001",15,212,0.080188679,1,1
"KR11F006","Female",2018-03-17,2018-10-02,112,137,"Kuruman 11",15,"KR11F001",16,199,0.125628141,1,0
"KR11F015","Female",2018-03-20,2018-10-02,49,91,"Kuruman 11",15,"KR11F001",16,196,0.214285714,1,0
"KR11M012","Female",2018-03-18,2018-10-03,45,89,"Kuruman 11",15,"KR11F001",16,199,0.221105528,1,0
"KR11M011","Male",2018-03-18,2018-10-03,92,117,"Kuruman 11",15,"KR11F001",16,199,0.125628141,1,0
"KR11M009","Male",2018-03-18,2018-10-03,122,152,"Kuruman 11",15,"KR11F001",16,199,0.150753769,1,0
"KR11F002","Female",2018-03-18,2018-10-03,119,119,"Kuruman 11",15,"KR11F001",16,199,0,1,0
"KR11F008","Female",2018-03-18,2018-10-04,107,121,"Kuruman 11",15,"KR11F001",16,200,0.07,1,0
"KR11F007","Female",2018-03-18,2018-10-05,98,123,"Kuruman 11",15,"KR11F001",16,201,0.124378109,1,0
