"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR31F016","Kuruman 31","KRR",13,2020-04-20,"20/04/2020",17,"Female",133,"25/11/2019",147,0.402464066,"femalenonbreeder",19
"KR31F017","Kuruman 31","KRR",13,2020-04-20,"20/04/2020",17,"Female",89,"26/11/2019",146,0.399726215,"femalenonbreeder",16.15
"KR32F001","Kuruman 32","KRR",7,2017-01-23,"23/01/2017",1,"Female",119,"23/01/2017",0,0,"single",18
"KR33F001","Kuruman 33","KRR",11,2019-04-18,"15/04/2019",7,"Female",95,"13/09/2017",582,1.593429158,"femalenonbreeder",16.45
"KR33F001","Kuruman 33","KRR",12,2019-10-08,"07/10/2019",7,"Female",93,"13/09/2017",755,2.067077344,"femalenonbreeder",16.3
"KR33F003","Kuruman 33","KRR",11,2019-04-16,"15/04/2019",7,"Female",91,"16/10/2018",182,0.498288843,"femalenonbreeder",16.65
"KR36F003","Kuruman 36","KRR",8,2017-10-10,"09/10/2017",14,"Female",93,"08/05/2017",155,0.424366872,"femalenonbreeder",16.75
"KR36F003","Kuruman 36","KRR",10,2018-10-14,"13/10/2018",12,"Female",122,"08/05/2017",524,1.434633812,"femalenonbreeder",17.45
"KR36F003","Kuruman 36","KRR",11,2019-04-16,"15/04/2019",15,"Female",139,"08/05/2017",708,1.938398357,"femalenonbreeder",18.15
"KR36F004","Kuruman 36","KRR",8,2017-10-09,"09/10/2017",14,"Female",97,"08/05/2017",154,0.421629021,"femalenonbreeder",16.25
"KR36F004","Kuruman 36","KRR",9,2018-04-19,"17/04/2018",9,"Female",116,"08/05/2017",346,0.947296372,"femalenonbreeder",17
"KR36F006","Kuruman 36","KRR",7,2017-05-09,"08/05/2017",14,"Female",89,"09/05/2017",0,0,"femalenonbreeder",16.45
"KR36F006","Kuruman 36","KRR",8,2017-10-09,"09/10/2017",14,"Female",102,"09/05/2017",153,0.41889117,"femalenonbreeder",17
"KR36F006","Kuruman 36","KRR",9,2018-04-20,"17/04/2018",9,"Female",121,"09/05/2017",346,0.947296372,"femalenonbreeder",17.05
"KR36F008","Kuruman 36","KRR",7,2017-05-09,"08/05/2017",14,"Female",97,"09/05/2017",0,0,"femalenonbreeder",17.5
"KR36F008","Kuruman 36","KRR",8,2017-10-10,"09/10/2017",14,"Female",114,"09/05/2017",154,0.421629021,"femalenonbreeder",17.75
"KR36F009","Kuruman 36","KRR",7,2017-05-09,"08/05/2017",14,"Female",101,"09/05/2017",0,0,"femalenonbreeder",17.25
"KR36F009","Kuruman 36","KRR",8,2017-10-09,"09/10/2017",14,"Female",121,"09/05/2017",153,0.41889117,"femalenonbreeder",18.05
"KR36F010","Kuruman 36","KRR",9,2018-04-20,"17/04/2018",9,"Female",90,"09/05/2017",346,0.947296372,"femalenonbreeder",17.15
"KR36F010","Kuruman 36","KRR",10,2018-10-14,"13/10/2018",12,"Female",109,"09/05/2017",523,1.431895962,"femalenonbreeder",17.55
"KR36F010","Kuruman 36","KRR",12,2019-10-31,"28/10/2019",4,"Female",113,"09/05/2017",905,2.477754962,"femalenonbreeder",17.75
"KR36F010","Kuruman 36","KRR",13,2020-05-11,"11/05/2020",8,"Female",115,"09/05/2017",1098,3.006160164,"femalenonbreeder",17.6
"KR36F012","Kuruman 36","KRR",7,2017-05-10,"08/05/2017",14,"Female",149,"10/05/2017",0,0,"femalenonbreeder",19
"KR36F012","Kuruman 36","KRR",8,2017-10-10,"09/10/2017",14,"Female",154,"10/05/2017",153,0.41889117,"femalenonbreeder",19.1
"KR36F012","Kuruman 36","KRR",11,2019-04-16,"15/04/2019",15,"Female",184,"10/05/2017",706,1.932922656,"femalenonbreeder",19.1
"KR36F018","Kuruman 36","KRR",11,2019-04-15,"15/04/2019",15,"Female",110,"13/10/2018",184,0.503764545,"femalenonbreeder",16.95
"KR36F018","Kuruman 36","KRR",12,2019-10-31,"28/10/2019",4,"Female",114,"13/10/2018",383,1.048596851,"femalenonbreeder",17.15
"KR36F018","Kuruman 36","KRR",13,2020-05-11,"11/05/2020",8,"Female",125,"13/10/2018",576,1.577002053,"femalenonbreeder",17.65
"KR36F019","Kuruman 36","KRR",11,2019-04-15,"15/04/2019",15,"Female",98,"14/10/2018",183,0.501026694,"femalenonbreeder",16.7
"KR36F019","Kuruman 36","KRR",12,2019-10-31,"28/10/2019",4,"Female",98,"14/10/2018",382,1.045859001,"femalenonbreeder",17.05
"KR36F019","Kuruman 36","KRR",13,2020-05-12,"11/05/2020",8,"Female",110,"14/10/2018",576,1.577002053,"femalenonbreeder",16.9
"KR36F020","Kuruman 36","KRR",10,2018-10-14,"13/10/2018",12,"Female",113,"14/10/2018",0,0,"femalenonbreeder",17.3
"KR36F020","Kuruman 36","KRR",11,2019-04-15,"15/04/2019",15,"Female",143,"14/10/2018",183,0.501026694,"femalenonbreeder",18.2
"KR36F023","Kuruman 36","KRR",13,2020-05-11,"11/05/2020",8,"Female",88,"16/04/2019",391,1.070499658,"femalenonbreeder",16.1
