"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"KR1F018","Kuruman 1","KRR",4,"15/10/2015",2015-10-14,"16/10/2015",7,"Female",144,7.452079085,2014-07-27,NA,445,1.2183436,"ingroupnonbreeder","1","22"
"KR1F018","Kuruman 1","KRR",5,"27/04/2016",2016-04-26,"27/04/2016",9,"Female",148,116.8075972,2014-07-27,NA,640,1.752224504,"ingroupnonbreeder","1","22"
"KR1F018",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2014-07-27,NA,729,1.995893224,"Disappeared","2","22"
"KR1F019","Kuruman 1","KRR",2,"28/07/2014",2014-07-27,"30/07/2014",10,"Female",37,15.72555258,2014-07-27,NA,0,0,"ingroupnonbreeder","1","23"
"KR1F019","Kuruman 1","KRR",3,"17/02/2015",2015-02-16,"18/02/2015",10,"Female",87,60.89109671,2014-07-27,NA,205,0.561259411,"ingroupnonbreeder","1","23"
"KR1F019","Kuruman 1","KRR",4,"15/10/2015",2015-10-14,"16/10/2015",7,"Female",127,7.452079085,2014-07-27,NA,445,1.2183436,"ingroupnonbreeder","1","23"
"KR1F019","Kuruman 1","KRR",5,"27/04/2016",2016-04-26,"27/04/2016",9,"Female",119,116.8075972,2014-07-27,NA,640,1.752224504,"ingroupnonbreeder","1","23"
"KR1F019","Kuruman 33","KRR",7,"07/03/2017",2017-03-06,"07/03/2017",2,"Female",169,198.1155283,2014-07-27,NA,954,2.611909651,"Disappeared","2","23"
"KR13F027","Kuruman 13","KRR",2,"08/08/2014",2014-08-05,"08/08/2014",21,"Female",35,4.644637189,2014-08-05,NA,0,0,"ingroupnonbreeder","1","24"
"KR13F027","Kuruman 13","KRR",3,"10/02/2015",2015-02-10,"13/02/2015",23,"Female",82,60.89109671,2014-08-05,NA,189,0.517453799,"ingroupnonbreeder","1","24"
"KR13F027","Kuruman 38","KRR",7,"23/05/2017",2017-05-23,"23/05/2017",1,"Female",124,75.0055436,2014-08-05,NA,1022,2.798083504,"Disappeared","2","24"
"KR13F028","Kuruman 13","KRR",2,"08/08/2014",2014-08-05,"08/08/2014",21,"Female",33,4.644637189,2014-08-05,NA,0,0,"ingroupnonbreeder","1","25"
