GroupID,GroupCaptureStartDate,FirstCaptureOfGroup,DaysSinceFirstGroupCap,TimeToNextCap,QueenWeight,GroupSizeAtFirstCapture,CapRecapNumber,NewRecruits,WithinGroupRecruits,AdultNewRecruits,withingrouprecruitmentrate.6mo,withingrouprecruitmentrate.6mo.adults,Rainfall1,Rainfall2,Rainfall3,Rainfall4,Rainfall5,Rainfall6,GroupSizeRecap,GroupSizeRecapWoutRecruits,AvgGroupSize,AvgGroupSizeWoutRecruits,QueenID,KingID,CompleteCapture,QueenPresent,KingPresent,BothBreedersPresent,Location
Kuruman 43,22/11/2018,22/11/2018,0,117,160,5,1,0,0,0,0,0,254.5324287,7.013044249,21.21103572,76.30846649,16.41761075,19.07711662,NA,NA,NA,NA,KR13F038,KR13M054,1,1,1,1,Kuruman
Kuruman 45,30/09/2019,01/04/2019,182,175,130,2,2,1,1,NA,1.028571429,NA,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,NA,NA,NA,NA,KR45F001,KR31M003,1,1,1,1,Kuruman
Kuruman 49,28/10/2019,28/10/2019,0,204,134,17,1,4,3,NA,2.647058824,NA,127.1988109,2.822682598,10.59990091,242.762001,13.12075683,34.68028585,NA,NA,NA,NA,KR49F016,L26M001,1,1,1,1,Kuruman
Kuruman 7,09/03/2019,03/12/2013,1922,205,116,6,11,5,5,NA,4.390243902,NA,179.9059552,5.352641757,14.99216294,40.12550829,0.704602057,6.687584715,NA,NA,NA,NA,KR7F007,KR27M004,1,1,1,1,Kuruman
Kuruman 7,30/09/2019,03/12/2013,2127,233,131,11,12,1,1,NA,0.772532189,NA,131.7196995,2.979689968,10.97664162,247.7043009,11.6132871,30.96303761,NA,NA,NA,NA,KR7F007,KR27M004,1,1,1,1,Kuruman
Kuruman 8,15/10/2019,03/12/2013,2142,188,149,15,10,7,7,NA,6.70212766,NA,127.1988109,2.822682598,10.59990091,242.6679588,29.88121627,40.4446598,NA,NA,NA,NA,KR8F012,KR7M016,1,1,1,1,Kuruman
Lonely 13,01/03/2014,29/09/2013,153,199,136,10,2,6,3,3,2.713567839,2.713567839,376.4544966,7.626549546,28.9580382,104.7088111,5.225428151,14.95840159,NA,NA,NA,NA,L13F009,L13M007,1,1,1,1,LonelyA
Lonely 13,16/09/2014,29/09/2013,352,191,114,8,3,4,4,4,3.769633508,3.769633508,308.1603905,9.314723784,25.68003254,164.7868604,21.80352148,27.46447673,NA,NA,NA,NA,L13F008,KR1M010,1,1,1,1,LonelyA
Lonely 13,10/09/2016,29/09/2013,1077,268,160,8,6,3,3,NA,2.014925373,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L13F008,KR1M010,1,1,1,1,LonelyA
Lonely 14,01/03/2014,01/03/2014,0,199,182,13,1,0,0,0,0,0,376.4544966,7.626549546,28.9580382,104.7088111,5.225428151,14.95840159,NA,NA,NA,NA,L14F011,L14M008,1,1,1,1,LonelyA
