AnimalID,Sex,DateofCapture,DateofRecapture,weight,weight2,GroupID,GroupSize,QueenID,GroupSizeRecapture,timediff,rateofbodymassgrowth
KR8F012,Female,30/04/2018,08/11/2018,130,161,Kuruman 8,16,KR8F002,16,192,0.161458333
KR8F016,Female,14/08/2017,02/05/2018,69,93,Kuruman 8,11,KR8F002,16,261,0.091954023
KR8F021,Female,01/05/2018,06/11/2018,47,102,Kuruman 8,16,KR8F002,16,189,0.291005291
KR8F027,Female,06/11/2018,10/03/2019,62,87,Kuruman 8,16,NA,15,124,0.201612903
KR8F027,Female,10/03/2019,16/10/2019,87,115,Kuruman 8,15,KR8F012,15,220,0.127272727
KR8F027,Female,16/10/2019,20/04/2020,115,118,Kuruman 8,15,KR8F012,22,187,0.016042781
KR8F029,Female,09/11/2018,10/03/2019,69,95,Kuruman 8,16,NA,15,121,0.214876033
KR8F030,Female,10/03/2019,15/10/2019,41,117,Kuruman 8,15,KR8F012,15,219,0.347031963
KR8F030,Female,15/10/2019,20/04/2020,117,128,Kuruman 8,15,KR8F012,22,188,0.058510638
KR8F031,Female,10/03/2019,15/10/2019,46,106,Kuruman 8,15,KR8F012,15,219,0.273972603
KR8F031,Female,15/10/2019,21/04/2020,106,110,Kuruman 8,15,KR8F012,22,189,0.021164021
KR8F033,Female,16/10/2019,21/04/2020,77,104,Kuruman 8,15,KR8F012,22,188,0.143617021
KR8F036,Female,16/10/2019,20/04/2020,48,84,Kuruman 8,15,KR8F012,22,187,0.192513369
KR8F038,Female,17/10/2019,20/04/2020,48,83,Kuruman 8,15,KR8F012,22,186,0.188172043
L10F002,Female,22/09/2016,21/06/2017,26,71,Lonely 10,3,L10F003,8,272,0.165441176
L11F003,Female,23/09/2013,04/03/2014,111,121,Lonely 11,25,L11F025,16,162,0.061728395
L11F003,Female,04/03/2014,21/09/2014,121,156,Lonely 11,16,NA,9,201,0.174129353
L11F004,Female,23/09/2013,02/03/2014,89,107,Lonely 11,25,L11F025,16,160,0.1125
L11F004,Female,02/03/2014,17/09/2014,107,135,Lonely 11,16,NA,9,199,0.140703518
L11F004,Female,17/09/2014,23/03/2015,135,126,Lonely 11,9,NA,8,187,-0.048128342
L11F009,Female,23/09/2013,03/03/2014,82,96,Lonely 11,25,L11F025,16,161,0.086956522
L11F014,Female,24/09/2013,02/03/2014,120,140,Lonely 11,25,L11F025,16,159,0.125786164
L11F016,Female,24/09/2013,02/03/2014,91,95,Lonely 11,25,L11F025,16,159,0.025157233
L11F016,Female,02/03/2014,18/09/2014,95,123,Lonely 11,16,NA,9,200,0.14
L11F019,Female,24/09/2013,02/03/2014,85,101,Lonely 11,25,L11F025,16,159,0.100628931
L11F019,Female,02/03/2014,20/09/2014,101,128,Lonely 11,16,NA,9,202,0.133663366
L11F019,Female,20/09/2014,23/03/2015,128,132,Lonely 11,9,NA,8,184,0.02173913
L11F024,Female,25/09/2013,02/03/2014,90,101,Lonely 11,25,L11F025,16,158,0.069620253
L11F024,Female,02/03/2014,19/09/2014,101,128,Lonely 11,16,NA,9,201,0.134328358
L13F001,Female,29/09/2013,02/03/2014,123,142,Lonely 13,12,L13F009,10,154,0.123376623
L13F005,Female,04/02/2016,16/01/2017,129,127,Kuruman 25,1,NA,1,347,-0.005763689
L13F005,Female,16/01/2017,31/07/2017,127,119,Kuruman 25,1,NA,1,196,-0.040816327
L13F005,Female,31/07/2017,25/04/2018,119,119,Kuruman 25,1,NA,1,268,0
L13F005,Female,25/04/2018,23/03/2019,119,121,Kuruman 25,1,NA,1,332,0.006024096
L13F005,Female,23/03/2019,05/03/2020,121,114,Kuruman 25,1,NA,1,348,-0.020114943
L13F006,Female,30/09/2013,01/03/2014,115,123,Lonely 13,12,L13F009,10,152,0.052631579
L13F008,Female,01/10/2013,03/03/2014,107,115,Lonely 13,12,L13F009,10,153,0.052287582
L13F014,Female,02/03/2014,16/09/2014,37,124,Lonely 13,10,L13F009,8,198,0.439393939
L13F014,Female,16/09/2014,26/03/2015,124,104,Lonely 13,8,L13F008,8,191,-0.104712042
L13F015,Female,17/09/2014,29/01/2015,93,98,Lonely 13,8,L13F008,1,134,0.037313433
L13F020,Female,27/03/2015,23/02/2016,28,87,Lonely 13,8,L13F008,12,333,0.177177177
L13F020,Female,23/02/2016,06/10/2016,87,102,Lonely 13,12,L13F008,1,226,0.066371681
L13F021,Female,27/03/2015,23/02/2016,33,100,Lonely 13,8,L13F008,12,333,0.201201201
L13F029,Female,24/02/2016,10/09/2016,38,114,Lonely 13,12,L13F008,8,199,0.381909548
L13F029,Female,10/09/2016,05/06/2017,114,124,Lonely 13,8,L13F008,10,268,0.037313433
L13F030,Female,10/09/2016,06/06/2017,55,89,Lonely 13,8,L13F008,10,269,0.126394052
L13F032,Female,10/09/2016,06/06/2017,59,109,Lonely 13,8,L13F008,10,269,0.185873606
L13F033,Female,10/09/2016,05/06/2017,65,88,Lonely 13,8,L13F008,10,268,0.085820896
L14F004,Female,03/03/2014,17/09/2014,111,124,Lonely 14,13,L14F011,8,198,0.065656566
L14F004,Female,17/09/2014,29/01/2015,124,137,Lonely 14,8,L14F013,2,134,0.097014925
L14F006,Female,03/03/2014,16/09/2014,103,124,Lonely 14,13,L14F011,8,197,0.106598985
L14F006,Female,16/09/2014,23/03/2015,124,130,Lonely 14,8,L14F013,1,188,0.031914894
L14F009,Female,03/03/2014,16/09/2014,46,94,Lonely 14,13,L14F011,8,197,0.243654822
L14F009,Female,16/09/2014,29/01/2015,94,105,Lonely 14,8,L14F013,8,135,0.081481481
L14F023,Female,09/02/2016,09/09/2016,60,92,Lonely 14,12,L14F013,9,213,0.150234742
L14F023,Female,09/09/2016,30/05/2017,92,90,Lonely 14,9,L14F013,13,263,-0.007604563
L14F025,Female,11/02/2016,09/09/2016,68,101,Lonely 14,12,L14F013,9,211,0.156398104
L14F025,Female,09/09/2016,30/05/2017,101,105,Lonely 14,9,L14F013,13,263,0.015209125
L15F003,Female,10/10/2014,23/03/2015,18,58,Lonely 15,3,L15F002,3,164,0.243902439
